english,french,german
acute, aigu, akut
conscious, conscient, bewusst
sensible, sensé, vernünftig
daily, quotidien, täglich
heavy, lourd, schwer
obsolete, vétuste, veraltet
appauled, atterré, entsetzt
upset, bouleversé, aufgebracht
useless, inutile, nutzlos
identical, pareil, identisch
required, requis, erforderlich
worse, pire, schlechter
tense, tendu, angespannt
dry, sec, trocken
dark, sombre, dunkel
clean, propre, sauber
relevant, pertinent, relevant
monthly, mensuel, monatlich
versatile, polyvalent, vielseitig
related, relie, verwandt
desireable, souhaitable, wünschenswert
deep, profond, tief
reliable, fiable, zuverlässig
affordable, abordable, erschwinglich
fair/accurate, juste, fair
poor/bad, mauvais, schlecht
bright, vif, hell
brand new, neuf, brand neu
fool proof, infaillible, idiotensicher
ugly, laid, hässlich
high, élevé, hoch
scary, effrayant, gruselig
hard, dur, hart
light, léger, leicht
brief, bref, kurz
damaged, abîmé, beschädigt
out of stock, épuisé, ausverkauft
loud, fort, laut
honest, honnête, ehrlich
thick, épais, dick
user friendly, convivial, benutzerfeundlich
unpleasant, antipathique, unfreundlich
low/weak, faible, niedrig
optional, facultatif, optional
profitable, rentable, rentabel
clear, clair, klar
sorry, désolé, entschuldigung
equal, égal, gleichen
kind, gentil, freundlich
weekly, hebdomadaire, wöchentlich
blurry/unclear, flou, unklar
short, court, kurz
painfull, douloureux, schmerzlich
happy, heureux, froehlich
early, précoce, frueh
full, plein, voll
