a commercial (@) (n. m.),the at-sign (@)
accent (n. m.),accent
accentuation (n. f.),stress
acceptation (n. f.),acceptance
accueil (n. m.),welcome
acquisition (n. f.),acquisition
action (n. f.),action
activité (n. f.),activity
adjectif (n. m.),adjective
adresse (n. f.),address
agent (n. m.),officer
agente (n. f.),officer
ajustement (n. m.),adjustment
alinéa (loi) (n. m.),paragraph
amendement (n. m.),amendment
analyse (n. f.),analysis
analyste (n. m./f.),analyst
anglais (n. m.),English
année (n. f.),year
annexe (n. f.),appendix
annulation (n. f.),cancellation
antériorité (n. f.),anteriority
août (n. m.),August
apostrophe (n. f.),apostrophe
appartement (n. m.),apartment
appartenance (n. f.),belonging
appellation (n. f.),name
appendice (n. m.),appendix
application (n. f.),application
approbation (n. f.),approval
après-midi (n. m./f.),afternoon
aptitude (n. f.),aptitude
arobas (@) (n. m.),the at-sign (@)
arrêté (n. m.),order
article (grammaire) (n. m.),article
article (loi) (n. m.),section
article (publication) (n. m.),article
ascenseur (n. m.),elevator
aspect (n. m.),aspect
assimilation (n. f.),assimilation
association (n. f.),association
attitude (n. f.),attitude
auteur (n. m.),author
auteure (n. f.),author
automne (n. m.),autumn
automne (n. m.),fall
autorisation (n. f.),authorization
avant-midi (n. m./f.),morning
averse (n. f.),shower
avril (n. m.),April
banque (n. f.),bank
bar (n. m.),bar
base de données (n. f.),data base
besoin (n. m.),a need
bibliographie (n. f.),bibliography
bibliothèque (n. f.),library
bogue (n. m.),bug
bois (n. m.),wood
bouche (n. f.),mouth
bout (n. m.),end
boutique (n. f.),boutique
bras (n. m.),arm
brique (n. f.),brick
brochure (n. f.),brochure (bound)
brouillard (n. m.),fog
bruine (n. f.),drizzle
brume (n. f.),mist
brun (n. m.),brunet
brune (n. f.),brunette
budget (n. m.),budget
bulletin (n. m.),bulletin
bulletin (n. m.),gazette
bureau (n. m.),desk
bureau (n. m.),office
but (n. m.),goal
cafétéria (n. f.),cafeteria
canicule (n. f.),dog days
cantine (n. f.),canteen
capacité (n. f.),ability
carré (n. m.),square
carte (n. f.),map
carton (n. m.),cardboard
cause (n. f.),cause
cédille (n. f.),cedilla
centaine (n. f.),about a hundred
centième (n. m./f.),hundredth
centilitre (n. m.),centilitre
centimètre (n. m.),centimetre
centre-ville (n. m.),downtown
certitude (n. f.),certainty
changement (n. m.),change
chemise (n. f.),folder
chèque (n. m.),cheque
cheveux (n. m.),hair
cheville (n. f.),ankle
choix (n. m.),choice
chose (n. f.),thing
