english,french,german
to keep, garder, behalten
to renew, renouveler, erneuern
to enter, saisir, eingeben
to save, sauvegarder, speichern
to search, rechercher, suchen
to deceive, tromper, täuschen
to delete, supprimer, löschen
to tell, raconter, erzählen
to deepen, approfondir, vertiefen
to meet, rencontrer, treffen
to succeed, réussir, gelingen
to possess, posséder, besitzen
to erase, effacer, löschen
to express, exprimer, ausdrücken
to clean, nettoyer, reinigen
to found, fonder, gründen
to fill up, remplir, füllen
to press, appuyer, drücken
to furnish, fournir, liefern
to make, rendre, machen
to manage, gérer, verwalten
to be worth, valoir, wert sein
to shine, briller, glänzen
to taste, goûter, schmecken
to rest, se reposer, sich ausruhen
to build, bâtir, bauen
to be, être, sein
to have, avoir, haben
to do, faire, machen
to go, aller, gehen
to say, dire, sagen
to see, voir, sehen
to know, savoir, wissen
to take, prendre, nehmen
to come, venir, kommen
to want, vouloir, wollen
to give, donner, geben
to find, trouver, finden
to think, penser, denken
to call, appeler, rufen
to work, travailler, arbeiten
to speak, parler, sprechen
to ask, demander, fragen
to need, avoir besoin, brauchen
to live, vivre, leben
to put, mettre, setzen
to like, aimer, mögen
to follow, suivre, folgen
to believe, croire, glauben
to hold, tenir, halten
to change, changer, ändern
to remain, rester, bleiben
to watch, regarder, beobachten
to open, ouvrir, öffnen
to close, fermer, schließen
to return, retourner, zurückkehren
to service, entretenir, pflegen
to play, jouer, spielen
to manage a situation, se débrouiller, situation verwalten
to pay, payer, zahlen
to fail, échouer, scheitern
to try, essayer, versuchen
to prevent, empêcher, verhindern
to understand, comprendre, verstehen
to lose, perdre, verlieren
to browse, parcourir, durchsuchen
to occur, survenir, auftreten
to design, concevoir, entwerfen
to be able, pouvoir, können
to plan, prévoir, planen
to relax, se détendre, sich entspannen
to hurry, se dépêcher, sich beeilen
to start, amorcer, starten
to stop, arrêter, stoppen
to extract, soutirer, extrahieren
to cross, traverser, überqueren
to cross through, franchir, durchqueren
to fall, tomber, fallen
to rise, monter, steigen
to increase, augmenter, erhöhen
to require, exiger, erfordern
to save, épargner, sparen
to win, remporter, gewinnen
to inform, renseigner, informieren
to experiece, éprouver, erleben
to attempt, tenter, versuchen
to fit together, s'emboîter, zusammenpassen
to rationalize, rationaliser, rationalisieren
to be quiet, se taire, still sein
to suspect, soupçonner, vermuten
to complete, accomplir, vervollständigen
to complain, se plaindre, sich beschweren
to discard, écarter, verwerfen
to increase, accroître, steigern
to support, soutenir, unterstützen
to display, afficher, anzeigen
to weave, tisser, weben
to tighten, serrer, festziehen
to link, lier, verbinden
to result in success, aboutir, zum Erfolg führen
to worry, s'inquiéter, sich sorgen
to translate, traduire, übersetzen
to throw in, interpeller, einwerfen
to avoid, éviter, vermeiden
to fill in, combler, ausfüllen
to work on, traiter, bearbeiten
to interrupt, interrompre, unterbrechen
to stay, demeurer, bleiben
to train, entraîner, trainieren
to raise again, relever, erhöhen
to must, devoir, müssen
to become, devenir, werden
to approach, aborder, nähern
to appear, paraître, erscheinen
to recognize, reconnaître, erkennen
to percieve, apercevoir, wahrnehmen
to remember, se souvenir, sich erinnern
to contact/enclose, joindre, kontaktieren
to let/leave, laisser, lassen
to implement, mettre en œuvre, umsetzen
to apply for, postuler, bewerben
to offer, offrir, anbieten
to include, inclure, einschließen
to exceed, excéder, überschreiten
to hire, embaucher, einstellen
to fix/to set, fixer, festlegen
to obtain, obtenir, erhalten
to lead, mener, führen
to mitigate, atténuer, mildern
to notice a fact, constater, feststellen
to blow, souffler, blasen
to file, classer, ablegen
to go beyond, dépasser, überschreiten
to feel, sentir, fühlen
to depend on, dépendre, abhängen
to move, déplacer, bewegen
